"userid","dbid","toplevel","queryid","query","plans","total_plan_time","min_plan_time","max_plan_time","mean_plan_time","stddev_plan_time","calls","total_exec_time","min_exec_time","max_exec_time","mean_exec_time","stddev_exec_time","rows","shared_blks_hit","shared_blks_read","shared_blks_dirtied","shared_blks_written","local_blks_hit","local_blks_read","local_blks_dirtied","local_blks_written","temp_blks_read","temp_blks_written","blk_read_time","blk_write_time","temp_blk_read_time","temp_blk_write_time","wal_records","wal_fpi","wal_bytes","jit_functions","jit_generation_time","jit_inlining_count","jit_inlining_time","jit_optimization_count","jit_optimization_time","jit_emission_count","jit_emission_time"
16384,16387,True,"3889870412600653792","COPY ""psutil_cpu"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","12","16.362457","0.608","2.098125","1.3635380833333333","0.5602800577035052","12","6","18","18","0","0","0","0","0","0","0","10.133878","0","0","0","24","0","5076","0","0","0","0","0","0","0","0"
10,16385,True,"-9218272773566744999","select /* pgwatch2_generated */ rolsuper
			   from pg_roles r where rolname = session_user","0","0","0","0","0","0","73","14.169703999999998","0.0048330000000000005","5.2208749999999995","0.1941055342465754","0.7119114551443568","73","72","1","0","0","0","0","0","0","0","0","0.019083","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16385,True,"-2526987929434994805","select /* pgwatch2_generated */ (regexp_matches(
			regexp_replace(current_setting($1), $2, $3, $4),
			$5)
			)[$6]::text as ver, pg_is_in_recovery(), current_database()::text","0","0","0","0","0","0","73","197.920421","0.0045839999999999995","40.688250000000004","2.7112386438356157","6.77461382835923","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16387,True,"-9140875673173484855","COPY ""cpu_load"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","24","12.980999","0.083875","1.875291","0.5408749583333334","0.46702697866883447","24","14","34","34","0","0","0","0","0","0","0","6.174709","0","0","0","48","0","5496","0","0","0","0","0","0","0","0"
10,25481,True,"-7225261453483776278","-- using 1687011169 as a seed to the RNG


select
	c_custkey,
	c_name,
	sum(l_extendedprice * ($1 - l_discount)) as revenue,
	c_acctbal,
	n_name,
	c_address,
	c_phone,
	c_comment
from
	customer,
	orders,
	lineitem,
	nation
where
	c_custkey = o_custkey
	and l_orderkey = o_orderkey
	and o_orderdate >= date $2
	and o_orderdate < date $3 + interval $4 month
	and l_returnflag = $5
	and c_nationkey = n_nationkey
group by
	c_custkey,
	c_name,
	c_acctbal,
	c_phone,
	n_name,
	c_address,
	c_comment
order by
	revenue desc
LIMIT $6","0","0","0","0","0","0","6","41546.132099999995","6122.776502","8310.123837000001","6924.35535","793.3648954182789","120","19231","4275791","0","227","0","0","0","0","239430","239610","11203.986029","5.780365000000001","487.108607","1610.5101089999998","0","0","0","210","7.552253","6","59.960585","6","855.552126","6","537.782926"
10,16385,True,"7223792198798457014","select
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  archived_count,
  failed_count,
  case when coalesce(last_failed_time, $3::timestamptz) > coalesce(last_archived_time, $4::timestamptz) then $5 else $6 end as is_failing_int,
  extract($7 from now() - last_failed_time)::int8 as seconds_since_last_failure
from
  pg_stat_archiver
where
  current_setting($8) in ($9, $10)","0","0","0","0","0","0","24","12.975956999999994","0.140292","7.274374999999999","0.5406648749999999","1.4076989216448033","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"8791495898096813209","select pg_stat_statements_reset()","0","0","0","0","0","0","1","0.08366699999999999","0.08366699999999999","0.08366699999999999","0.08366699999999999","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
16384,16387,True,"-6363102693713380219","COPY ""configured_dbs"" (""time"", ""dbname"", ""data"", ""tag_data"") FROM STDIN","0","0","0","0","0","0","2","13.204249999999998","3.45925","9.745","6.602124999999999","3.142874999999999","2","79","27","8","0","0","0","0","0","0","0","6.899293","0","0","0","6","0","926","0","0","0","0","0","0","0","0"
10,16385,True,"913126053716103344","WITH q_locks AS (
  select
    *
  from
    pg_locks
  where
    pid != pg_backend_pid()
    and database = (select oid from pg_database where datname = current_database())
)
SELECT
  (extract($1 from now()) * $2)::int8 as epoch_ns,
  locktypes AS tag_locktype,
  coalesce((select count(*) FROM q_locks WHERE locktype = locktypes), $3) AS count
FROM
  unnest($4::text[]) locktypes","0","0","0","0","0","0","24","85.47170600000001","0.08841600000000001","16.963542","3.561321083333333","4.1367758253223395","216","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,25481,True,"-2770144370203087134","SELECT set_config($1,$2,$3) FROM pg_settings WHERE name = $4","0","0","0","0","0","0","1","6.249833","6.249833","6.249833","6.249833","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
